record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,product_id,part_id,qty_per_unit,scrap_factor,effective_start_month,effective_end_month,alt_part_group,priority_rank
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,SOC_A18,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,OLED_68,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,MEM_256,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,CAM_PRO,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,BATT_X,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,HOUSING_AL,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,PCB_MAIN,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_BASE,PKG_BOX,1,0.01,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,SOC_A18,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,OLED_68,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,MEM_256,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,CAM_PRO,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,BATT_X,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,HOUSING_AL,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,PCB_MAIN,1,0.02,2027-01,2028-12,,1
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IPHONE_NM_2028_PRO,PKG_BOX,1,0.01,2027-01,2028-12,,1
