record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,bucket_id,calendar_date,year_no,month_no,week_no,quarter_no,is_launch_phase,is_peak_phase,is_holiday_peak_flag
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M01,2027-01-01,2027,1,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M02,2027-02-01,2027,2,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M03,2027-03-01,2027,3,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M04,2027-04-01,2027,4,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M05,2027-05-01,2027,5,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M06,2027-06-01,2027,6,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M07,2027-07-01,2027,7,,3,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M08,2027-08-01,2027,8,,3,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M09,2027-09-01,2027,9,,3,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M10,2027-10-01,2027,10,,4,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M11,2027-11-01,2027,11,,4,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2027M12,2027-12-01,2027,12,,4,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M01,2028-01-01,2028,1,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M02,2028-02-01,2028,2,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M03,2028-03-01,2028,3,,1,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M04,2028-04-01,2028,4,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M05,2028-05-01,2028,5,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M06,2028-06-01,2028,6,,2,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M07,2028-07-01,2028,7,,3,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M08,2028-08-01,2028,8,,3,N,N,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M09,2028-09-01,2028,9,,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M10,2028-10-01,2028,10,,4,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M11,2028-11-01,2028,11,,4,N,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028M12,2028-12-01,2028,12,,4,N,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W34,2028-09-01,2028,9,34,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W35,2028-09-08,2028,9,35,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W36,2028-09-15,2028,9,36,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W37,2028-09-22,2028,9,37,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W38,2028-09-29,2028,9,38,3,Y,Y,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,2028W39,2028-09-36,2028,10,39,3,Y,Y,N
