record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,capacity_id,capacity_object_type,object_id,capacity_kind,product_or_part_id,bucket_id,capacity_qty,capacity_uom,capacity_cost_penalty,overtime_flag
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W34,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W34,165000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W34,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W34,135000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W34,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W34,90000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W34,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W34,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W34,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W34,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W34,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W34,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W34,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W34,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W34,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W34,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W34,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W34,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W35,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W35,187000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W35,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W35,153000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W35,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W35,102000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W35,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W35,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W35,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W35,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W35,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W35,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W35,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W35,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W35,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W35,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W35,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W35,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W36,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W36,220000,UNIT,12.5,Y
