record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,channel_id,country_geo_id,channel_name,channel_type,channel_priority,service_level_target,sellout_delay_days
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,US_APPLE_ONLINE,COUNTRY_US,US Apple Online,APPLE_DIRECT_ONLINE,1,0.99,2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,US_CARRIER,COUNTRY_US,US Carrier,CARRIER,1,0.98,5
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CA_APPLE_ONLINE,COUNTRY_CA,Canada Apple Online,APPLE_DIRECT_ONLINE,1,0.99,3
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CA_CARRIER,COUNTRY_CA,Canada Carrier,CARRIER,2,0.97,5
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,MX_LARGE_RETAIL,COUNTRY_MX,Mexico Large Retail,LARGE_RETAIL,1,0.96,8
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,MX_CARRIER,COUNTRY_MX,Mexico Carrier,CARRIER,2,0.95,7
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DE_APPLE_ONLINE,COUNTRY_DE,Germany Apple Online,APPLE_DIRECT_ONLINE,1,0.99,3
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DE_CARRIER,COUNTRY_DE,Germany Carrier,CARRIER,2,0.97,6
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,FR_APPLE_ONLINE,COUNTRY_FR,France Apple Online,APPLE_DIRECT_ONLINE,1,0.98,3
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,FR_CARRIER,COUNTRY_FR,France Carrier,CARRIER,2,0.97,6
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,UK_APPLE_ONLINE,COUNTRY_UK,UK Apple Online,APPLE_DIRECT_ONLINE,1,0.99,2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,UK_CARRIER,COUNTRY_UK,UK Carrier,CARRIER,2,0.97,5
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IN_LARGE_RETAIL,COUNTRY_IN,India Large Retail,LARGE_RETAIL,1,0.95,7
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IN_ECOM,COUNTRY_IN,India E-Commerce,E_COMMERCE,1,0.97,4
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CN_APPLE_ONLINE,COUNTRY_CN,China Apple Online,APPLE_DIRECT_ONLINE,1,0.99,2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CN_ECOM,COUNTRY_CN,China E-Commerce,E_COMMERCE,1,0.98,4
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,JP_APPLE_RETAIL,COUNTRY_JP,Japan Apple Retail,APPLE_RETAIL,1,0.99,2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,JP_CARRIER,COUNTRY_JP,Japan Carrier,CARRIER,2,0.98,4
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,SG_APPLE_ONLINE,COUNTRY_SG,Singapore Apple Online,APPLE_DIRECT_ONLINE,1,0.99,2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,TH_DISTRIBUTOR,COUNTRY_TH,Thailand Distributor,DISTRIBUTOR,1,0.94,9
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,VN_DISTRIBUTOR,COUNTRY_VN,Vietnam Distributor,DISTRIBUTOR,1,0.94,9
