record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,edge_id,from_node_id,to_node_id,edge_type,transport_mode,default_lt_days,capacity_type,priority_rank,cost_rule_id,is_active
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_SOC_TAIWAN_FAB_TO_ASM_CHINA_MAIN,SOC_TAIWAN_FAB,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_SOC_TAIWAN_FAB_TO_ASM_INDIA_MAIN,SOC_TAIWAN_FAB,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,7,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_SOC_TAIWAN_FAB_TO_ASM_VIETNAM_MAIN,SOC_TAIWAN_FAB,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,6,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_DISPLAY_KOREA_PLANT_TO_ASM_CHINA_MAIN,DISPLAY_KOREA_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_DISPLAY_KOREA_PLANT_TO_ASM_INDIA_MAIN,DISPLAY_KOREA_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,6,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_DISPLAY_KOREA_PLANT_TO_ASM_VIETNAM_MAIN,DISPLAY_KOREA_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_MEM_CHINA_PLANT_TO_ASM_CHINA_MAIN,MEM_CHINA_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_MEM_CHINA_PLANT_TO_ASM_INDIA_MAIN,MEM_CHINA_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_MEM_CHINA_PLANT_TO_ASM_VIETNAM_MAIN,MEM_CHINA_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_CAM_JAPAN_MODULE_TO_ASM_CHINA_MAIN,CAM_JAPAN_MODULE,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_CAM_JAPAN_MODULE_TO_ASM_INDIA_MAIN,CAM_JAPAN_MODULE,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,6,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_CAM_JAPAN_MODULE_TO_ASM_VIETNAM_MAIN,CAM_JAPAN_MODULE,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_BATT_CHINA_PLANT_TO_ASM_CHINA_MAIN,BATT_CHINA_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_BATT_CHINA_PLANT_TO_ASM_INDIA_MAIN,BATT_CHINA_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_BATT_CHINA_PLANT_TO_ASM_VIETNAM_MAIN,BATT_CHINA_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_HOUSING_VN_PLANT_TO_ASM_CHINA_MAIN,HOUSING_VN_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_HOUSING_VN_PLANT_TO_ASM_INDIA_MAIN,HOUSING_VN_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_HOUSING_VN_PLANT_TO_ASM_VIETNAM_MAIN,HOUSING_VN_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PCB_TH_PLANT_TO_ASM_CHINA_MAIN,PCB_TH_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PCB_TH_PLANT_TO_ASM_INDIA_MAIN,PCB_TH_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PCB_TH_PLANT_TO_ASM_VIETNAM_MAIN,PCB_TH_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,3,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PKG_INDIA_PLANT_TO_ASM_INDIA_MAIN,PKG_INDIA_PLANT,ASM_INDIA_MAIN,ASSEMBLY_INBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PKG_INDIA_PLANT_TO_ASM_CHINA_MAIN,PKG_INDIA_PLANT,ASM_CHINA_MAIN,ASSEMBLY_INBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_PKG_INDIA_PLANT_TO_ASM_VIETNAM_MAIN,PKG_INDIA_PLANT,ASM_VIETNAM_MAIN,ASSEMBLY_INBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_CHINA_MAIN_TO_RH_NA,ASM_CHINA_MAIN,RH_NA,FG_OUTBOUND,AIR,9,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_CHINA_MAIN_TO_RH_EU_WEST,ASM_CHINA_MAIN,RH_EU_WEST,FG_OUTBOUND,AIR,10,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_CHINA_MAIN_TO_RH_CHINA,ASM_CHINA_MAIN,RH_CHINA,FG_OUTBOUND,AIR,3,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_CHINA_MAIN_TO_RH_JAPAN,ASM_CHINA_MAIN,RH_JAPAN,FG_OUTBOUND,AIR,4,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_CHINA_MAIN_TO_RH_SEA,ASM_CHINA_MAIN,RH_SEA,FG_OUTBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_INDIA_MAIN_TO_RH_NA,ASM_INDIA_MAIN,RH_NA,FG_OUTBOUND,AIR,10,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_INDIA_MAIN_TO_RH_EU_WEST,ASM_INDIA_MAIN,RH_EU_WEST,FG_OUTBOUND,AIR,9,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_INDIA_MAIN_TO_RH_INDIA,ASM_INDIA_MAIN,RH_INDIA,FG_OUTBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_INDIA_MAIN_TO_RH_SEA,ASM_INDIA_MAIN,RH_SEA,FG_OUTBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_VIETNAM_MAIN_TO_RH_NA,ASM_VIETNAM_MAIN,RH_NA,FG_OUTBOUND,AIR,9,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_VIETNAM_MAIN_TO_RH_EU_WEST,ASM_VIETNAM_MAIN,RH_EU_WEST,FG_OUTBOUND,AIR,10,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_VIETNAM_MAIN_TO_RH_SEA,ASM_VIETNAM_MAIN,RH_SEA,FG_OUTBOUND,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_ASM_VIETNAM_MAIN_TO_RH_JAPAN,ASM_VIETNAM_MAIN,RH_JAPAN,FG_OUTBOUND,AIR,5,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_NA_TO_COUNTRY_NODE_US,RH_NA,COUNTRY_NODE_US,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_NA_TO_COUNTRY_NODE_CA,RH_NA,COUNTRY_NODE_CA,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_NA_TO_COUNTRY_NODE_MX,RH_NA,COUNTRY_NODE_MX,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_EU_WEST_TO_COUNTRY_NODE_DE,RH_EU_WEST,COUNTRY_NODE_DE,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_EU_WEST_TO_COUNTRY_NODE_FR,RH_EU_WEST,COUNTRY_NODE_FR,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_EU_WEST_TO_COUNTRY_NODE_UK,RH_EU_WEST,COUNTRY_NODE_UK,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_INDIA_TO_COUNTRY_NODE_IN,RH_INDIA,COUNTRY_NODE_IN,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_CHINA_TO_COUNTRY_NODE_CN,RH_CHINA,COUNTRY_NODE_CN,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_JAPAN_TO_COUNTRY_NODE_JP,RH_JAPAN,COUNTRY_NODE_JP,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_SEA_TO_COUNTRY_NODE_SG,RH_SEA,COUNTRY_NODE_SG,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_SEA_TO_COUNTRY_NODE_TH,RH_SEA,COUNTRY_NODE_TH,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_RH_SEA_TO_COUNTRY_NODE_VN,RH_SEA,COUNTRY_NODE_VN,COUNTRY_REPLENISH,AIR,2,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_US_TO_CHANNEL_US_APPLE_ONLINE,COUNTRY_NODE_US,CHANNEL_US_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_US_TO_CHANNEL_US_CARRIER,COUNTRY_NODE_US,CHANNEL_US_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_CA_TO_CHANNEL_CA_APPLE_ONLINE,COUNTRY_NODE_CA,CHANNEL_CA_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_CA_TO_CHANNEL_CA_CARRIER,COUNTRY_NODE_CA,CHANNEL_CA_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_MX_TO_CHANNEL_MX_LARGE_RETAIL,COUNTRY_NODE_MX,CHANNEL_MX_LARGE_RETAIL,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_MX_TO_CHANNEL_MX_CARRIER,COUNTRY_NODE_MX,CHANNEL_MX_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_DE_TO_CHANNEL_DE_APPLE_ONLINE,COUNTRY_NODE_DE,CHANNEL_DE_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_DE_TO_CHANNEL_DE_CARRIER,COUNTRY_NODE_DE,CHANNEL_DE_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_FR_TO_CHANNEL_FR_APPLE_ONLINE,COUNTRY_NODE_FR,CHANNEL_FR_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_FR_TO_CHANNEL_FR_CARRIER,COUNTRY_NODE_FR,CHANNEL_FR_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_UK_TO_CHANNEL_UK_APPLE_ONLINE,COUNTRY_NODE_UK,CHANNEL_UK_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_UK_TO_CHANNEL_UK_CARRIER,COUNTRY_NODE_UK,CHANNEL_UK_CARRIER,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_IN_TO_CHANNEL_IN_LARGE_RETAIL,COUNTRY_NODE_IN,CHANNEL_IN_LARGE_RETAIL,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_IN_TO_CHANNEL_IN_ECOM,COUNTRY_NODE_IN,CHANNEL_IN_ECOM,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,E_COUNTRY_NODE_CN_TO_CHANNEL_CN_APPLE_ONLINE,COUNTRY_NODE_CN,CHANNEL_CN_APPLE_ONLINE,CHANNEL_SUPPLY,TRUCK,1,TRANSPORT_CAP,1,,Y
