record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,geo_id,geo_name,geo_type,parent_geo_id,region_group,country_code,lat_center,lon_center
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,GLOBAL,Global,GLOBAL,,GLOBAL,,0.0,0.0
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_NA,North America,REGION,GLOBAL,NORTH_AMERICA,,37.1,-95.7
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_EU_WEST,Europe West,REGION,GLOBAL,EURO_WEST,,50.1,8.6
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_INDIA,India,REGION,GLOBAL,INDIA,,22.6,79.0
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_CHINA,China,REGION,GLOBAL,CHINA,,35.9,104.2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_JAPAN,Japan,REGION,GLOBAL,JAPAN,,36.2,138.2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,REGION_SEA,South East Asia,REGION,GLOBAL,SOUTH_EAST_ASIA,,13.0,101.0
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_US,United States,COUNTRY,REGION_NA,NORTH_AMERICA,US,37.1,-95.7
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_CA,Canada,COUNTRY,REGION_NA,NORTH_AMERICA,CA,56.1,-106.3
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_MX,Mexico,COUNTRY,REGION_NA,NORTH_AMERICA,MX,23.6,-102.5
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_DE,Germany,COUNTRY,REGION_EU_WEST,EURO_WEST,DE,51.2,10.4
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_FR,France,COUNTRY,REGION_EU_WEST,EURO_WEST,FR,46.2,2.2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_UK,United Kingdom,COUNTRY,REGION_EU_WEST,EURO_WEST,GB,55.4,-3.4
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_IN,India,COUNTRY,REGION_INDIA,INDIA,IN,22.6,79.0
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_CN,China,COUNTRY,REGION_CHINA,CHINA,CN,35.9,104.2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_JP,Japan,COUNTRY,REGION_JAPAN,JAPAN,JP,36.2,138.2
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_SG,Singapore,COUNTRY,REGION_SEA,SOUTH_EAST_ASIA,SG,1.35,103.82
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_TH,Thailand,COUNTRY,REGION_SEA,SOUTH_EAST_ASIA,TH,15.87,100.99
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_VN,Vietnam,COUNTRY,REGION_SEA,SOUTH_EAST_ASIA,VN,14.06,108.28
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_TW,Taiwan,COUNTRY,REGION_SEA,OTHER_ASIA,TW,23.7,121.0
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_KR,South Korea,COUNTRY,REGION_SEA,OTHER_ASIA,KR,36.5,127.9
