record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,lt_id,from_node_id,to_node_id,product_or_part_id,lt_type,lt_days,lt_variability_days,customs_days,buffer_days,effective_start_month,effective_end_month
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_SOC_TAIWAN_FAB_TO_ASM_CHINA_MAIN,SOC_TAIWAN_FAB,ASM_CHINA_MAIN,,TRANSPORT_LT,5,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_SOC_TAIWAN_FAB_TO_ASM_INDIA_MAIN,SOC_TAIWAN_FAB,ASM_INDIA_MAIN,,TRANSPORT_LT,7,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_SOC_TAIWAN_FAB_TO_ASM_VIETNAM_MAIN,SOC_TAIWAN_FAB,ASM_VIETNAM_MAIN,,TRANSPORT_LT,6,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_DISPLAY_KOREA_PLANT_TO_ASM_CHINA_MAIN,DISPLAY_KOREA_PLANT,ASM_CHINA_MAIN,,TRANSPORT_LT,4,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_DISPLAY_KOREA_PLANT_TO_ASM_INDIA_MAIN,DISPLAY_KOREA_PLANT,ASM_INDIA_MAIN,,TRANSPORT_LT,6,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_DISPLAY_KOREA_PLANT_TO_ASM_VIETNAM_MAIN,DISPLAY_KOREA_PLANT,ASM_VIETNAM_MAIN,,TRANSPORT_LT,5,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_MEM_CHINA_PLANT_TO_ASM_CHINA_MAIN,MEM_CHINA_PLANT,ASM_CHINA_MAIN,,TRANSPORT_LT,2,1,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_MEM_CHINA_PLANT_TO_ASM_INDIA_MAIN,MEM_CHINA_PLANT,ASM_INDIA_MAIN,,TRANSPORT_LT,5,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_MEM_CHINA_PLANT_TO_ASM_VIETNAM_MAIN,MEM_CHINA_PLANT,ASM_VIETNAM_MAIN,,TRANSPORT_LT,4,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_CAM_JAPAN_MODULE_TO_ASM_CHINA_MAIN,CAM_JAPAN_MODULE,ASM_CHINA_MAIN,,TRANSPORT_LT,4,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_CAM_JAPAN_MODULE_TO_ASM_INDIA_MAIN,CAM_JAPAN_MODULE,ASM_INDIA_MAIN,,TRANSPORT_LT,6,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_CAM_JAPAN_MODULE_TO_ASM_VIETNAM_MAIN,CAM_JAPAN_MODULE,ASM_VIETNAM_MAIN,,TRANSPORT_LT,5,2,1,1,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,LT_E_BATT_CHINA_PLANT_TO_ASM_CHINA_MAIN,BATT_CHINA_PLANT,ASM_CHINA_MAIN,,TRANSPORT_LT,2,1,1,1,2027-01,2028-12
