record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,demand_id,product_id,consumer_node_id,consumer_segment_id,bucket_month,base_demand_qty,launch_uplift_factor,seasonality_factor,price_response_factor,competition_factor,supply_shortage_feedback_factor,final_demand_qty
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M01,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-01,15000,1.0,1.0,0.98,1.0,1.0,14700
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M02,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-02,18000,1.0,1.0,0.98,1.0,1.0,17640
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M03,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-03,22000,1.0,1.0,0.98,1.0,1.0,21560
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M04,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-04,26000,1.0,1.0,0.98,1.0,1.0,25480
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M05,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-05,32000,1.0,1.0,0.98,1.0,1.0,31360
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M06,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-06,40000,1.0,1.0,0.98,1.0,1.0,39200
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M07,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-07,52000,1.0,1.0,0.98,1.0,1.0,50960
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M08,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-08,70000,1.0,1.0,0.98,1.0,1.0,68600
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M09,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-09,160000,1.35,1.0,0.98,1.0,1.02,215914
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DEM_US_PREMIUM_EARLY_2028M10,IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,US_PREMIUM_EARLY,2028-10,120000,1.1,1.0,0.98,1.0,1.0,129360
