record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,node_id,node_name,node_type,node_role,parent_node_id,geo_id,lat,lon,country_code,currency_code,ownership_type,planning_enabled,visualization_enabled
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,SOC_TAIWAN_FAB,Taiwan SoC Fab,PART_PLANT,SUPPLY,,COUNTRY_TW,24.8,121.0,TW,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DISPLAY_KOREA_PLANT,Korea Display Plant,PART_PLANT,SUPPLY,,COUNTRY_KR,37.5,127.0,KR,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,MEM_CHINA_PLANT,China Memory Plant,PART_PLANT,SUPPLY,,COUNTRY_CN,31.2,121.5,CN,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAM_JAPAN_MODULE,Japan Camera Module Plant,PART_PLANT,SUPPLY,,COUNTRY_JP,35.7,139.7,JP,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,BATT_CHINA_PLANT,China Battery Plant,PART_PLANT,SUPPLY,,COUNTRY_CN,30.6,114.3,CN,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,HOUSING_VN_PLANT,Vietnam Housing Plant,PART_PLANT,SUPPLY,,COUNTRY_VN,10.8,106.6,VN,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,PCB_TH_PLANT,Thailand PCB Plant,PART_PLANT,SUPPLY,,COUNTRY_TH,13.7,100.5,TH,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,PKG_INDIA_PLANT,India Packaging Plant,PART_PLANT,SUPPLY,,COUNTRY_IN,19.1,72.9,IN,USD,SUPPLIER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,ASM_CHINA_MAIN,China Main Assembly,ASSEMBLY_PLANT,SUPPLY,,COUNTRY_CN,34.7,113.6,CN,USD,EMS_PARTNER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,ASM_INDIA_MAIN,India Main Assembly,ASSEMBLY_PLANT,SUPPLY,,COUNTRY_IN,13.1,80.3,IN,USD,EMS_PARTNER,Y,Y
