product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
IPHONE_NM_2028_BASE,MOM_final_assy_ASIA,2027,0,0,0,0,0,0,5000,8000,12000,15000,12000,8000
IPHONE_NM_2028_BASE,MOM_final_assy_ASIA,2028,0,0,0,0,15000,30000,60000,90000,130000,120000,80000,50000
IPHONE_NM_2028_BASE,MOM_final_assy_ASIA,2029,35000,30000,25000,22000,20000,18000,16000,15000,14000,13000,12000,10000
IPHONE_NM_2028_BASE,MOM_final_assy_EURO,2027,0,0,0,0,0,0,1000,2000,3000,4000,3000,2000
IPHONE_NM_2028_BASE,MOM_final_assy_EURO,2028,0,0,0,0,5000,8000,12000,18000,24000,22000,15000,10000
IPHONE_NM_2028_BASE,MOM_final_assy_EURO,2029,7000,6500,6000,5500,5000,4500,4000,3800,3600,3400,3200,3000
IPHONE_NM_2028_PRO,MOM_final_assy_ASIA,2027,0,0,0,0,0,0,2000,3000,5000,7000,6000,4000
IPHONE_NM_2028_PRO,MOM_final_assy_ASIA,2028,0,0,0,0,7000,14000,26000,42000,70000,65000,42000,26000
IPHONE_NM_2028_PRO,MOM_final_assy_ASIA,2029,20000,18000,17000,16000,15000,14000,13000,12000,11000,10000,9000,8000
IPHONE_NM_2028_PRO,MOM_final_assy_EURO,2027,0,0,0,0,0,0,500,1000,1500,2000,1500,1000
IPHONE_NM_2028_PRO,MOM_final_assy_EURO,2028,0,0,0,0,2000,3500,6000,9000,15000,14000,9000,6000
IPHONE_NM_2028_PRO,MOM_final_assy_EURO,2029,4500,4300,4100,3900,3700,3500,3300,3100,2900,2700,2500,2300
