product_id,node_id,business_unit,sales_price,material_cost_ratio,labor_cost_ratio,facility_fixed_cost_ratio,logistics_cost_ratio,indirect_cost_ratio,profit_ratio
RICE_KOSHIHIKARI,FARM_NIIGATA,FarmingDiv,1800,0.35,0.25,0.15,0.05,0.05,0.15
RICE_KOSHIHIKARI,DC_KANTO,DistDiv,3500,0.55,0.08,0.10,0.12,0.05,0.10
RICE_KOSHIHIKARI,MARKET_TOKYO,SalesDiv,5000,0.62,0.07,0.08,0.08,0.04,0.11
RICE_KOSHIHIKARI,MARKET_OSAKA,SalesDiv,4800,0.62,0.07,0.08,0.09,0.04,0.10
RICE_KOSHIHIKARI,MARKET_NAGOYA,SalesDiv,4700,0.62,0.07,0.08,0.09,0.04,0.10
RICE_AKITAKOMACHI,FARM_AKITA,FarmingDiv,1600,0.34,0.24,0.15,0.05,0.05,0.17
RICE_AKITAKOMACHI,DC_KANTO,DistDiv,3200,0.54,0.08,0.10,0.12,0.05,0.11
RICE_AKITAKOMACHI,MARKET_TOKYO,SalesDiv,4500,0.62,0.07,0.08,0.08,0.04,0.11
RICE_AKITAKOMACHI,MARKET_OSAKA,SalesDiv,4300,0.62,0.07,0.08,0.09,0.04,0.10
RICE_AKITAKOMACHI,MARKET_NAGOYA,SalesDiv,4200,0.62,0.07,0.08,0.09,0.04,0.10
