product,product_name,direction,sequence_no,node_name,node_character,price_formation_mode,purchase_cost_per_lot,value_added_cost_per_lot,variable_cost_per_lot,fixed_cost_per_week,fixed_cost_per_lot,logistics_cost_per_lot,inventory_handling_cost_per_lot,tax_rate,tax_tariff_cost_per_lot,target_profit_per_lot,ship_price_per_lot,inventory_unit_value_per_lot,revenue,purchase_amount,variable_cost,fixed_cost,tax_cost,profit,ending_inventory_value,inventory_value,remarks
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,1,CS_CN_PREMIUM,CS,explicit_ship_price,805.0,0.0,220.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,960.0,480.0,17989440.0,0.0,4126980.0,22260.0,0.0,4845480.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,2,CS_DE_PREMIUM,CS,explicit_ship_price,850.0,0.0,235.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,1010.0,505.0,7108380.0,0.0,1655810.0,26500.0,0.0,1871880.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,3,CS_IN_ASPIRER,CS,explicit_ship_price,760.0,0.0,160.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,780.0,390.0,7924020.0,0.0,1627520.0,18020.0,0.0,2316470.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,4,CS_JP_REPLACEMENT,CS,explicit_ship_price,835.0,0.0,210.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,910.0,465.0,6191640.0,0.0,1430940.0,25016.0,0.0,1571824.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,5,CS_UK_MAINSTREAM,unknown,explicit_ship_price,830.0,0.0,215.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,930.0,470.0,6839220.0,0.0,1583045.0,24380.0,0.0,1775415.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,6,CS_US_MAINSTREAM,unknown,explicit_ship_price,820.0,0.0,205.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,899.0,450.0,21161561.0,0.0,4831235.0,22896.0,0.0,5714880.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,7,CS_US_PREMIUM,unknown,explicit_ship_price,800.0,0.0,230.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,999.0,500.0,18770211.0,0.0,4325150.0,25440.0,0.0,5025121.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,8,DAD_FAS_AMER,unknown,explicit_ship_price,20.0,0.0,38.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,650.0,560.0,27513200.0,0.0,1898138.0,16960.0,0.0,1894422.0,17760960.0,17760960.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,9,DAD_FAS_APAC,DAD,explicit_ship_price,20.0,0.0,36.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,640.0,550.0,22849280.0,0.0,1611396.0,15900.0,0.0,1585884.0,14133900.0,14133900.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,10,DAD_FAS_EURO,unknown,explicit_ship_price,20.0,0.0,40.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,670.0,575.0,9642640.0,0.0,748840.0,18020.0,0.0,600380.0,6143300.0,6143300.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,11,MOM_final_assy_ASIA,MOM,explicit_ship_price,20.0,0.0,58.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,560.0,460.0,0.0,0.0,0.0,20140.0,0.0,-20140.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,12,MOM_final_assy_EURO,MOM,explicit_ship_price,20.0,0.0,62.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,590.0,485.0,0.0,0.0,0.0,22260.0,0.0,-22260.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,13,PAD_final_assy_ASIA,unknown,explicit_ship_price,560.0,0.0,32.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,430.0,330.0,0.0,0.0,0.0,11660.0,0.0,-11660.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,14,PAD_final_assy_EURO,unknown,explicit_ship_price,590.0,0.0,34.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,455.0,350.0,0.0,0.0,0.0,12720.0,0.0,-12720.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,15,RT_CN_ONLINE,unknown,explicit_ship_price,705.0,0.0,60.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,805.0,700.0,15084895.0,0.0,1125540.0,11872.0,0.0,830183.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,16,RT_DE_ONLINE,RT,explicit_ship_price,735.0,0.0,70.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,850.0,745.0,5982300.0,0.0,493220.0,15264.0,0.0,230506.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,17,RT_IN_ECOM,unknown,explicit_ship_price,705.0,0.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,760.0,650.0,7720840.0,0.0,488256.0,10176.0,0.0,619058.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,18,RT_JP_APPLE,unknown,explicit_ship_price,705.0,0.0,68.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,835.0,735.0,5681340.0,0.0,463352.0,14840.0,0.0,202208.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,19,RT_UK_CARRIER,unknown,explicit_ship_price,735.0,0.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,830.0,730.0,6103820.0,0.0,500684.0,14416.0,0.0,220300.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,20,RT_US_CARRIER,unknown,explicit_ship_price,720.0,0.0,70.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,820.0,730.0,19301980.0,0.0,1649690.0,13780.0,0.0,455040.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,21,RT_US_ONLINE,unknown,explicit_ship_price,720.0,0.0,62.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,800.0,715.0,15031200.0,0.0,1165910.0,12720.0,0.0,418435.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,22,WS_APAC,WS,explicit_ship_price,640.0,0.0,42.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,705.0,630.0,25169910.0,0.0,1501290.0,12720.0,0.0,1163640.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,23,WS_EU,WS,explicit_ship_price,670.0,0.0,46.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,735.0,665.0,10578120.0,0.0,662814.0,14840.0,0.0,329786.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,24,WS_NA,unknown,explicit_ship_price,650.0,0.0,44.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,720.0,650.0,30476160.0,0.0,1864368.0,13780.0,0.0,1084812.0,0.0,0.0,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,unknown,25,supply_point,SUPPLY_CHAIN_OFFICE,explicit_ship_price,0.0,0.0,4.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1848440.0,0.0,374132.0,3392.0,0.0,1470916.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,26,CS_CN_PREMIUM,CS,explicit_ship_price,1140.0,0.0,285.0,137.0,137.0,0.0,0.0,0.0,0.0,0.0,1249.0,625.0,11646925.0,0.0,2657625.0,29044.0,0.0,3132131.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,27,CS_DE_PREMIUM,CS,explicit_ship_price,1190.0,0.0,305.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,1319.0,660.0,6232275.0,0.0,1441125.0,33920.0,0.0,1638730.0,0.0,0.0,
