sequence_no,event_type,node_id,lot_id,time_bucket,payload
1,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024220001,25,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 0, ""production_size"": 5, ""sales_size"": 0, ""week_no"": 25}"
2,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024220002,25,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 0, ""production_size"": 5, ""sales_size"": 0, ""week_no"": 25}"
3,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230001,25,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 0, ""production_size"": 5, ""sales_size"": 0, ""week_no"": 25}"
4,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230002,25,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 0, ""production_size"": 5, ""sales_size"": 0, ""week_no"": 25}"
5,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230003,25,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 0, ""production_size"": 5, ""sales_size"": 0, ""week_no"": 25}"
6,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230004,26,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 26}"
7,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230005,26,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 26}"
8,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230006,26,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 26}"
9,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024230007,26,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 26}"
10,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024240001,26,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 26}"
