from_node,to_node,product_name,transfer_price_per_lot,freight_cost_per_lot,insurance_cost_per_lot,duty_cost_per_lot,handling_cost_per_lot,incoterm,currency,effective_from_week,effective_to_week,remarks
MOM_final_assy_ASIA,DAD_FAS_APAC,IPHONE_NM_2028_BASE,969000,12000,3000,0,5000,CIF,USD,202601,202652,asia final assembly to apac yard
MOM_final_assy_ASIA,DAD_FAS_APAC,IPHONE_NM_2028_PRO,1099000,15000,4000,0,6000,CIF,USD,202601,202652,asia final assembly to apac yard pro
MOM_final_assy_ASIA,DAD_FAS_AMER,IPHONE_NM_2028_BASE,969000,18000,4000,8000,6000,CIF,USD,202601,202652,asia final assembly to amer yard
MOM_final_assy_ASIA,DAD_FAS_AMER,IPHONE_NM_2028_PRO,1099000,22000,5000,10000,7000,CIF,USD,202601,202652,asia final assembly to amer yard pro
MOM_final_assy_EURO,DAD_FAS_EURO,IPHONE_NM_2028_BASE,969000,10000,2500,4000,5000,CIF,USD,202601,202652,euro final assembly to euro yard
MOM_final_assy_EURO,DAD_FAS_EURO,IPHONE_NM_2028_PRO,1099000,13000,3500,5000,6000,CIF,USD,202601,202652,euro final assembly to euro yard pro
DAD_FAS_AMER,WS_NA,IPHONE_NM_2028_BASE,999000,6000,1000,0,3000,DDP,USD,202601,202652,amer yard to na warehouse
DAD_FAS_AMER,WS_NA,IPHONE_NM_2028_PRO,1149000,7000,1200,0,3500,DDP,USD,202601,202652,amer yard to na warehouse pro
DAD_FAS_EURO,WS_EU,IPHONE_NM_2028_BASE,1005000,5000,800,0,2500,DDP,USD,202601,202652,euro yard to eu warehouse
DAD_FAS_EURO,WS_EU,IPHONE_NM_2028_PRO,1155000,6000,900,0,3000,DDP,USD,202601,202652,euro yard to eu warehouse pro
DAD_FAS_APAC,WS_APAC,IPHONE_NM_2028_BASE,995000,4000,500,0,2200,DDP,USD,202601,202652,apac yard to apac warehouse
DAD_FAS_APAC,WS_APAC,IPHONE_NM_2028_PRO,1145000,5000,700,0,2600,DDP,USD,202601,202652,apac yard to apac warehouse pro
WS_NA,RT_US_ONLINE,IPHONE_NM_2028_BASE,1049000,2000,100,0,1000,DDP,USD,202601,202652,na warehouse to us online
WS_NA,RT_US_ONLINE,IPHONE_NM_2028_PRO,1199000,2500,150,0,1200,DDP,USD,202601,202652,na warehouse to us online pro
WS_EU,RT_JP_APPLE,IPHONE_NM_2028_BASE,1055000,3000,150,0,1200,DDP,USD,202601,202652,eu warehouse to jp channel demo path
WS_EU,RT_JP_APPLE,IPHONE_NM_2028_PRO,1205000,3500,200,0,1400,DDP,USD,202601,202652,eu warehouse to jp channel demo path pro
WS_APAC,RT_IN_ASPIRER,IPHONE_NM_2028_BASE,1020000,1800,100,0,900,DDP,USD,202601,202652,apac warehouse to india channel
WS_APAC,RT_IN_ASPIRER,IPHONE_NM_2028_PRO,1180000,2200,120,0,1100,DDP,USD,202601,202652,apac warehouse to india channel pro
RT_US_ONLINE,CS_US_PREMIUM,IPHONE_NM_2028_BASE,1199000,0,0,0,0,EXW,USD,202601,202652,retail to consumer premium
RT_US_ONLINE,CS_US_PREMIUM,IPHONE_NM_2028_PRO,1399000,0,0,0,0,EXW,USD,202601,202652,retail to consumer premium pro
RT_US_ONLINE,CS_US_MAINSTREAM,IPHONE_NM_2028_BASE,1099000,0,0,0,0,EXW,USD,202601,202652,retail to consumer mainstream
RT_US_ONLINE,CS_US_MAINSTREAM,IPHONE_NM_2028_PRO,1299000,0,0,0,0,EXW,USD,202601,202652,retail to consumer mainstream pro
RT_JP_APPLE,CS_JP_REPLACEMENT,IPHONE_NM_2028_BASE,1134000,0,0,0,0,EXW,USD,202601,202652,japan retail to replacement consumer
RT_JP_APPLE,CS_JP_REPLACEMENT,IPHONE_NM_2028_PRO,1334000,0,0,0,0,EXW,USD,202601,202652,japan retail to replacement consumer pro
RT_IN_ASPIRER,CS_IN_ASPIRER,IPHONE_NM_2028_BASE,1080000,0,0,0,0,EXW,USD,202601,202652,india retail to aspirer consumer
RT_IN_ASPIRER,CS_IN_ASPIRER,IPHONE_NM_2028_PRO,1280000,0,0,0,0,EXW,USD,202601,202652,india retail to aspirer consumer pro
