node_name,node_character,display_name,country,company,currency,can_store,can_ship,can_sell,can_produce,remarks
supply_point,SUPPLY_CHAIN_OFFICE,Global Supply Chain Office,GLOBAL,WOM,USD,1,1,0,0,backward-compatible internal id
MOM_final_assy_ASIA,MOM,Final Assembly Asia,IN,APPLE_ASIA,USD,1,1,0,1,final assembly plant for Asia supply
MOM_final_assy_EURO,MOM,Final Assembly Europe,DE,APPLE_EURO,USD,1,1,0,1,final assembly plant for Europe supply
PAD_final_assy_ASIA,TIER_1_ASSY,Parts Assembly Asia,IN,SUPPLIER_ASIA,USD,1,1,0,1,upstream parts/assy node feeding MOM Asia
PAD_final_assy_EURO,TIER_1_ASSY,Parts Assembly Europe,DE,SUPPLIER_EURO,USD,1,1,0,1,upstream parts/assy node feeding MOM Europe
DAD_FAS_AMER,DAD,Distribution Yard Americas,US,APPLE_AMER,USD,1,1,0,0,finished goods outbound yard amer
DAD_FAS_EURO,DAD,Distribution Yard Europe,DE,APPLE_EURO,USD,1,1,0,0,finished goods outbound yard euro
DAD_FAS_APAC,DAD,Distribution Yard APAC,SG,APPLE_APAC,USD,1,1,0,0,finished goods outbound yard apac
WS_NA,WS,Warehouse North America,US,APPLE_AMER,USD,1,1,0,0,regional warehouse north america
WS_EU,WS,Warehouse Europe,DE,APPLE_EURO,USD,1,1,0,0,regional warehouse europe
WS_APAC,WS,Warehouse APAC,SG,APPLE_APAC,USD,1,1,0,0,regional warehouse apac
RT_US_ONLINE,RT,US Online Channel,US,APPLE_AMER,USD,0,1,1,0,retail / online channel
RT_JP_APPLE,RT,Japan Apple Channel,JP,APPLE_JP,USD,0,1,1,0,retail / direct channel
RT_IN_ASPIRER,RT,India Aspirer Channel,IN,APPLE_IN,USD,0,1,1,0,retail / channel for aspirer segment
CS_US_PREMIUM,CS,US Premium Consumer,US,MARKET_US,USD,0,0,1,0,leaf consumer node
CS_US_MAINSTREAM,CS,US Mainstream Consumer,US,MARKET_US,USD,0,0,1,0,leaf consumer node
CS_JP_REPLACEMENT,CS,Japan Replacement Consumer,JP,MARKET_JP,USD,0,0,1,0,leaf consumer node
CS_CN_PREMIUM,CS,China Premium Consumer,CN,MARKET_CN,USD,0,0,1,0,leaf consumer node
CS_IN_ASPIRER,CS,India Aspirer Consumer,IN,MARKET_IN,USD,0,0,1,0,leaf consumer node
